id,offstreet_spots
-1000303428,4
-1002247009,52
-1002828338,21
-1006784427,4
-1008241161,12
-1008241164,11
-100832885#3,5
-100832885#5,4
-1008835856,45
-1009116415,5
-1009306054,4
-1011412279,387
-1011831389,11
-1012346274#0,11
-101290092,19
-101290094#4,5
-101290094#5,39
-101290099,21
-101290100#0,4
-101290100#1,6
-1017368408,4
-1017767538#1,120
-1017793692#0,16
-1017821052,199
-1018192460#0,22
-1018533067,1
-1020500893,31
-1020756737,86
-1020977670,30
-1022434817#3,50
-1022434821#2,149
-1023990738,7
-1024040656#2,64
-1024043830,3
-102486231#2,122
-102486258,42
-102486268,7
-1025072174,105
-102527800,5
-102532387#0,45
-102532387#3,83
-1025578613,17
-1025815830,43
-10258834#1,50
-10272252,270
-10276231,225
-1028649446,11
-103012039#2,7
-10303507,220
-10303802#1,102
-10307356#1,199
-10307356#2,56
-103096147#2,68
-103141587#2,15
-1031696076#2,37
-1031838775,12
-1032351190,5
-103258836,27
-1033550893,111
-103406017#0,20
-103453514#0,147
-1034811168,97
-103499522#2,44
-103502697#0,33
-103502697#2,28
-103502697#3,21
-1035033626,21
-1035591892,14
-1035909461,90
-1036185119#2,88
-1036709237#0,14
-1036788070#2,30
-103844045,128
-1039422507,24
-1039459374,4
-1039463851#2,25
-1039584767,27
-1040630269,158
-1040750487#1,79
-1040930907,13
-1041455676,63
-1041502976,81
-10416383,19
-1041693599#0,63
-10422536#0,283
-1044393270,8
-1044651348#0,3
-1044818306#0,19
-1044819397,29
-1044820084,4
-1047402016,90
-1047407765,59
-1047410447,17
-1050276922,62
-1050506145#1,11
-1050523243,12
-1050686766,106
-1050737605,82
-1050922333#2,12
-1051812339,15
-1052024921,28
-1052527295#0,12
-1052757284,60
-1052939315,393
-1052940882,33
-1054720881#0,14
-1054727262,7
-1054748135,4
-1054775532,85
-1054776565,10
-1054783030,15
-1055082836,533
-1055085509,5
-1055187506,20
-1055297757,46
-1055301407,20
-1055413927,59
-1055414262,28
-10559163#0,12
-1057183597#2,77
-1057538106,18
-1057557985#2,10
-1057576180#1,12
-1057578010,18
-1057635874#0,110
-1057705993,256
-1057986367,82
-1057995229,16
-1058153679#0,7
-1058154242#0,5
-1058166479#0,4
-1058166660,17
-1058216273#0,20
-1058548817,4
-106063788,4
-1060659769#0,89
-1061047730,7
-10616488,23
-1062556377,46
-1064806684,7
-1064812115,50
-1066219245#1,102
-106796067,44
-1067984548,59
-106838214#1,406
-106838216,30
-10687028,12
-1069850884,285
-10699691,9
-1071216649#1,31
-1071954561,109
-1071968533,12
-1072685941,10
-1073531797,48
-1074096510#0,52
-10749740#0,28
-10749740#1,10
-1075528616,499
-10755765#5,3
-1076056354,14
-1077057451,35
-10774519#1,58
-107747046,14
-1077510441#0,24
-10776579#0,2
-10776740#3,17
-1077708848,78
-10781127#1,67
-1078983583#2,34
-1079054090,32
-1079227983,55
-1079228518,66
-1079247911,9
-1079440909#2,8
-1079700904#5,6
-1079762775,2
-1079762778#1,4
-1079762805#0,12
-1079762805#2,5
-1080299689#2,10
-1080299809#3,29
-1080530933#1,203
-1080947233#0,72
-1081089262,4
-1081328158,198
-1081624466,25
-1081624486#2,9
-1082168181,30
-1082503410#0,75
-1082503411#3,82
-1082675635,427
-1083226619#0,36
-1083346206,18
-1083506538,2
-1083617993,11
-1083744840#2,32
-1083949099,20
-1083977916#2,16
-1083979972#1,85
-1084265502,82
-1084267037#2,32
-1084426410#2,37
-108457516#0,3
-1084653605#2,4
-1085132033#0,32
-1085753888,14
-1085775716#5,25
-1085840060#1,29
-1086217583#1,185
-1086432672,46
-1087443834,49
-1087444217#1,42
-1087718444,69
-1087803758,460
-1087910405,122
-1087932371#0,27
-1088033150,74
-1088316480,395
-1088316481,47
-1088320793,90
-1088331562,9
-1088355369,66
-1088355370,47
-1088874803,72
-1088883067#1,27
-1088965880#0,70
-1089097983,18
-1089457022,46
-1089672834#2,46
-1089694882,3
-1089696695,60
-1089699908#2,121
-1089726114,192
-1089751350,15
-1089751371,16
-1089751377#2,27
-1089814423,11
-1090149873,21
-1090233551,31
-1090738971#2,130
-1090809734#2,4
-1090950860,49
-1090997276,183
-1091024215,105
-1091697620,4
-1091804127,22
-1091866611,14
-1092194756#2,42
-1092204225,7
-1092460782,81
-1092634269,5
-1092645063,12
-1092669931,72
-1092937450#1,25
-1093045352#3,28
-1093094003,106
-1093296103,20
-1093431681,92
-1093431684,19
-1093549448#0,67
-1093549448#1,25
-1093565984,11
-1093740391,3
-1093767401,21
-1093907101#1,5
-10942985,29
-10943732#1,37
-10947989,62
-10948806#2,15
-1095395142#0,29
-109541372,4
-1095644105,5
-1095763091,76
-1095918847#0,7
-1095918847#1,52
-1096666764,48
-1096751625,14
-109694466#1,53
-1096956259,57
-1097160403,34
-1097263684,13
-1097289892,73
-1097304411#2,12
-1097469171#2,16
-1097702893,10
-1097940652,22
-1097989450,15
-1098372960,19
-1098447838,17
-10995390#0,59
-1099616371,17
-1099616797#1,9
-1099617065,61
-1100646850,67
-1100677352,22
-1100713915,8
-1100726698,10
-1100784732#1,106
-1100785868,16
-1100787594,22
-1100791905#1,8
-11008433#2,5
-11008510,4
-11009179,22
-11009381#0,6
-1101007793#1,100
-1101010197,4
-1101060885#1,8
-1101061001,18
-1101061545#1,31
-1101062305#1,43
-1101064703#1,17
-1101064736#1,16
-1101065038#1,13
-1101065646#1,18
-1101065798#1,4
-1101066232,10
-1101072355#1,15
-1101185157,32
-1101185626,17
-1101200759,51
-1101202244,1
-1101202374#1,21
-1101287654,10
-1101406286,21
-1101407072#1,29
-1101408691#1,5
-1101475116,59
-1101555370,9
-1101972586#2,14
-1102323798#1,19
-1102343184,63
-1102356546,6
-1102369975,4
-1102371548#2,25
-11025291#0,13
-11025429,19
-1102606774,19
-1102675580#0,20
-1102675943,13
-1102680115,116
-1102685350,9
-1102710193#1,15
-1102794395,45
-1102901550,55
-1102937733#0,116
-1103167081,147
-1103225633,2
-1103787579,36
-1104395310,23
-110450332,55
-1105547448,2
-1105574291,26
-1105576712,86
-1105626007#3,21
-1105626007#9,14
-1105626008#2,23
-1105631679#0,18
-1105750143,52
-1105750144#0,9
-1105815307,3
-1105816337,75
-1105894358#5,18
-1106096664,12
-1106099219,12
-1106126914,16
-1106822254,27
-1107010570#0,19
-1107024925#1,20
-1107025404,11
-1107180836#0,12
-1107180839#0,63
-1107180844#2,54
-1107180848,13
-1107180849,31
-1107180851#6,9
-1107334268#0,40
-1107334268#1,10
-1107418305#2,125
-1107692240,117
-1107753957#0,22
-1107953483,56
-1108161978,31
-1108164794,38
-1108518927,65
-110863066#3,59
-1109051804#0,17
-11093284#1,12
-11093314,94
-1109690555#0,33
-1109690555#1,25
-1109690559,38
-1110073693,34
-1110075688,35
-1110381402,10
-1110381758,74
-1110388547#2,14
-1110388623#2,4
-1110415990#3,17
-1110508225,25
-1110729239,39
-1110773561#0,21
-1110773568,12
-1111529726,22
-1112064175#1,84
-1112201505,124
-1112422931,9
-111265282#0,59
-111283473#0,228
-111283473#1,11
-1113041654,104
-1113111988,31
-1113396559#0,2
-1113537198,31
-1113537200,87
-1113560176,1
-1113560183,22
-1113582024,6
-1113678933#0,3
-1114812193#0,60
-1114913206,6
-1114997736,33
-111531489,114
-1115471928#1,5
-1115511593,6
-1115698052,6
-1115709523#0,66
-1115710842#0,47
-1115711327,11
-1115713073,98
-1115713105#0,15
-1116272447,17
-1116980485#1,15
-1116986933#0,60
-1116988864,10
-1117199987,133
-1117261269,24
-1117347863#2,62
-1117478686#0,12
-1117614486,61
-1117643774,35
-1117643777,180
-1117738713#0,41
-1117801811,16
-1117877794#2,14
-1117885425,4
-1117926298,37
-1118014648,37
-111812579#4,50
-1118174956,5
-1118617267,16
-111861870,53
-1119243826,13
-1119595644,27
-1120345887,94
-1120408015,88
-1120414698#1,13
-1120414698#2,18
-1120546335,3
-1120755966,3
-1120756056,10
-1120853672,16
-1120862993#0,32
-1122589165,70
-1122765069,11
-1122766659,7
-1122774357#1,8
-1122782774,30
-1122784751,9
-1123458705#0,11
-1123734499,26
-1123801423,54
-112408881#2,11
-1124344236,121
-112442432,3
-1124764663,6
-1124986520,24
-1124992786,10
-1125003577,20
-1125226903,26
-1125735308,14
-1125836413#0,50
-1125846680#0,9
-1125915764#0,9
-1125915771#0,15
-1125915772,45
-1125925845#2,69
-1125941202,4
-1125941440,14
-1126011205#0,104
-1126236181#3,24
-1126357218,11
-1126357221#0,17
-11344525,38
-11375563,10
-11376999,17
-11389403#1,6
-11405307#3,54
-11405329#1,16
-11405511#0,10
-11405545#0,12
-11405545#3,27
-11405744#1,14
-11406684,10
-114381360#2,1
-114381453,26
-114433838,14
-114579496,7
-11644202#0,74
-117455644#0,259
-117455644#1,68
-117765488,5
-118635982#0,147
-119201840#2,6
-119201843#3,13
-11923627#2,19
-11929567#2,136
-119871489,10
-11993435#1,17
-120633878#2,17
-120675240#2,17
-121024652,567
-123046107,16
-12305962#2,16
-123152818,36
-123951385#2,38
-123951390#1,30
-123957197#2,7
-125190488,80
-125295349,11
-125955238,34
-12622286,13
-126264490#0,48
-126264491#3,11
-126559272#0,11
-126776805,51
-126833945,121
-126833947#0,13
-126833947#2,23
-127054759#4,15
-127054760,59
-127791541,7
-12817581,18
-128266208,56
-128276155,4
-128406003#0,251
-128445127#1,10
-128978595,9
-129953984,2
-131509860,11
-131834986#1,8
-13236305,17
-132645611#0,7
-133988451,19
-133988495#2,28
-133988505,6
-135777011,19
-135777013#4,9
-135777022#0,27
-135887713,6
-136024345#3,105
-136086628,6
-13621313,29
-13628162,67
-136699502,6
-136699504,119
-136814967,57
-136892620,15
-136892623,64
-137071144,37
-137499661,4
-137685678#0,19
-137685678#1,12
-137685680#1,15
-137685680#7,22
-137685684#2,70
-137720668,3
-13782288#1,11
-138515677#0,18
-138515677#1,157
-138515677#3,12
-13853633#3,8
-13853647,15
-138624452#2,42
-138988452,37
-140244087#0,75
-14025489,76
-14029900#0,44
-14029900#1,7
-140336718#0,13
-140336718#1,78
-14038926,27
-140648431#2,21
-140656352,170
-140914766,77
-140964910#1,20
-141128588,25
-14118453,5
-14126967,9
-14127262#1,5
-14146636,19
-141575942#6,3
-141804253#0,13
-141806548,15
-141968830#1,29
-141968897#0,19
-142062901#0,9
