id,onstreet_spots,offstreet_spots
-1000098209,8,NA
-1000268036,13,6
-1000303428,28,NA
-1000328789,2,NA
-1000365264,48,NA
-1000383790,1,NA
-1000422822,39,NA
-1000719326,35,NA
-1000835689,22,NA
-1001141591,18,NA
-1001425698#0,11,NA
-1001425698#1,6,NA
-1001425698#2,14,NA
-1001425698#3,21,NA
-1001425698#4,16,NA
-1002249742,2,NA
-1002257790,36,NA
-1002263686,11,NA
-1002517093,3,NA
-100280204#0,14,NA
-100280204#1,5,NA
-1002828337,7,NA
-1002828338,32,21
-1002890678,3,NA
-1003079755,14,NA
-1003345619#0,1,NA
-1003345619#1,2,NA
-1003345619#2,1,NA
-10039819,30,NA
-100405260,14,NA
-100405511#0,9,NA
-100405511#1,25,NA
-1004930483,91,NA
-1004987077,26,NA
-1005124622,3,NA
-1005124627#1,2,NA
-1005128760#0,15,NA
-1005195273,8,NA
-1005461116,3,NA
-1005461119#0,3,NA
-1005461119#1,4,NA
-1005461125,4,NA
-1005461127,1,NA
-1006033769,5,NA
-1006745914#3,6,NA
-1006784427,9,4
-1006839432#0,51,NA
-1006839432#1,37,NA
-1007431590#0,12,NA
-1007431590#1,7,NA
-1007431595,2,NA
-10081218,67,NA
-1008241161,5,12
-1008241162,4,NA
-1008241164,12,NA
-100832885#0,61,NA
-100832885#1,16,NA
-100832885#2,17,NA
-100832885#3,30,NA
-100832885#4,28,NA
-100832885#5,39,NA
-1008634747,19,NA
-1008634748,23,NA
-1008741313,13,NA
-1008835856,101,NA
-1008836419#0,19,NA
-1008836419#1,8,NA
-1008836420,15,NA
-1008961841,2,NA
-1008961842,0,NA
-1008965590,15,NA
-1009068369,7,NA
-1009116415,27,5
-1009118077,11,NA
-1009125108,36,NA
-1009139341#0,5,NA
-1009145096,11,NA
-1009152567#0,8,NA
-1009152567#1,15,NA
-1009152567#2,10,NA
-1009152567#3,17,NA
-1009171355,61,NA
-1009276214#0,13,NA
-1009276214#1,14,NA
-1009276214#2,13,NA
-1009278480,35,NA
-1009279082#0,14,NA
-1009279082#1,13,NA
-1009279082#2,8,NA
-1009280160,9,NA
-1009306087,19,NA
-1009306088#0,4,NA
-1009306088#1,4,NA
-1009311750,6,NA
-1009654442#0,15,NA
-1009654442#1,6,NA
