time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_access_walk	arrivals_access_walk	stuck_access_walk	en-route_access_walk	departures_bicycle	arrivals_bicycle	stuck_bicycle	en-route_bicycle	departures_car	arrivals_car	stuck_car	en-route_car	departures_egress_walk	arrivals_egress_walk	stuck_egress_walk	en-route_egress_walk	departures_freight	arrivals_freight	stuck_freight	en-route_freight	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_ride	arrivals_ride	stuck_ride	en-route_ride	departures_transit_walk	arrivals_transit_walk	stuck_transit_walk	en-route_transit_walk	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	59	19	0	40	31	18	0	13	5	0	0	5	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	4
00:05:00	300	20	20	0	40	2	12	0	3	0	0	0	5	11	3	0	26	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	4	0	3
00:10:00	600	15	14	0	41	5	6	0	2	1	0	0	6	6	3	0	29	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2
00:15:00	900	15	13	0	43	4	4	0	2	1	1	0	6	4	4	0	29	4	3	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	2
00:20:00	1200	29	29	0	43	6	5	0	3	1	1	0	6	3	15	0	17	16	6	0	12	1	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	1	1	0	2
00:25:00	1500	21	20	0	44	8	4	0	7	3	1	0	8	4	5	0	16	5	9	0	8	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	2
00:30:00	1800	30	27	0	47	12	8	0	11	2	1	0	9	7	8	0	15	8	10	0	6	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2
00:35:00	2100	33	30	0	50	9	12	0	8	2	3	0	8	12	5	0	22	7	7	0	6	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	2	0	0	4
00:40:00	2400	26	24	0	52	7	8	0	7	4	2	0	10	8	7	0	23	7	7	0	6	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4
00:45:00	2700	22	17	0	57	6	8	0	5	2	0	0	12	8	3	0	28	3	4	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	5
00:50:00	3000	28	32	0	53	7	10	0	2	3	5	0	10	9	7	0	30	7	8	0	4	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	4
00:55:00	3300	18	21	0	50	7	4	0	5	1	3	0	8	3	6	0	27	6	5	0	5	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2
01:00:00	3600	22	24	0	48	5	6	0	4	0	1	0	7	5	9	0	23	10	7	0	8	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3
01:05:00	3900	33	36	0	45	10	10	0	4	2	2	0	7	10	9	0	24	10	13	0	5	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
01:10:00	4200	16	17	0	44	5	5	0	4	1	1	0	7	5	3	0	26	4	4	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1
01:15:00	4500	24	23	0	45	8	6	0	6	2	1	0	8	6	7	0	25	7	9	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
01:20:00	4800	24	24	0	45	5	7	0	4	3	2	0	9	7	8	0	24	8	6	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
01:25:00	5100	22	24	0	43	5	6	0	3	1	1	0	9	4	8	0	20	9	8	0	6	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
01:30:00	5400	14	16	0	41	6	4	0	5	1	1	0	9	3	3	0	20	3	7	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
01:35:00	5700	26	21	0	46	6	5	0	6	5	4	0	10	5	8	0	17	8	3	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3
