pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	6359	11090	11064	10054	8474	6734	5066	3974	2790	2071	1568	1153	3614
car interaction---home_10200.0	76	17	4	3	0	3	1	0	0	0	0	0	0
car interaction---home_10800.0	54	12	9	1	1	1	2	0	1	0	1	0	0
car interaction---home_11400.0	83	30	4	0	1	0	0	0	0	0	0	0	0
car interaction---home_1200.0	360	68	12	14	4	4	2	1	0	3	0	0	0
car interaction---home_12000.0	52	20	2	0	1	0	0	2	0	0	0	0	0
car interaction---home_12600.0	45	19	3	3	1	1	0	0	0	0	0	0	0
car interaction---home_13200.0	66	6	2	1	1	0	0	1	0	0	0	0	0
car interaction---home_13800.0	63	16	3	2	2	0	0	0	0	0	0	0	0
car interaction---home_14400.0	68	6	2	1	1	0	0	0	0	0	0	0	0
car interaction---home_15000.0	51	10	2	0	3	2	0	0	0	0	0	0	0
car interaction---home_15600.0	39	9	2	1	0	0	0	0	0	0	0	0	0
car interaction---home_16200.0	36	6	1	1	1	1	0	1	0	0	0	0	0
car interaction---home_16800.0	34	6	0	2	0	0	0	0	0	0	0	0	0
car interaction---home_17400.0	33	7	2	4	0	0	1	0	0	0	0	0	0
car interaction---home_1800.0	331	59	10	10	6	7	1	0	1	0	0	1	1
car interaction---home_18000.0	24	6	1	0	1	0	0	0	0	0	0	0	0
car interaction---home_18600.0	33	5	2	1	0	0	1	0	0	0	0	0	0
car interaction---home_19200.0	36	4	3	0	0	2	0	0	0	0	0	0	0
car interaction---home_19800.0	24	5	3	2	0	0	0	0	0	0	0	0	0
car interaction---home_20400.0	21	7	0	2	0	0	0	0	0	0	0	0	0
car interaction---home_21000.0	27	2	1	2	0	0	0	0	0	0	0	0	0
car interaction---home_21600.0	32	10	0	1	1	0	0	0	0	0	0	0	0
car interaction---home_22200.0	25	10	4	1	1	0	0	0	0	0	0	0	0
car interaction---home_22800.0	27	9	1	0	1	0	0	0	0	0	0	0	0
car interaction---home_23400.0	10	5	3	2	1	0	1	0	0	0	0	0	0
car interaction---home_2400.0	292	57	19	11	3	3	3	0	1	0	0	0	0
car interaction---home_24000.0	27	10	4	0	0	0	0	0	0	0	0	0	0
car interaction---home_24600.0	27	4	4	1	1	0	1	0	0	0	0	0	0
car interaction---home_25200.0	24	8	2	0	0	0	0	0	0	0	0	0	0
car interaction---home_25800.0	19	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---home_26400.0	10	2	0	1	1	0	0	0	0	0	0	0	0
car interaction---home_27000.0	15	2	1	0	0	1	0	0	0	0	1	0	0
car interaction---home_27600.0	22	5	2	1	0	0	0	0	0	0	0	0	0
car interaction---home_28200.0	24	1	1	2	0	0	0	0	0	0	0	0	0
car interaction---home_28800.0	17	5	2	0	0	1	0	0	0	0	0	0	0
