time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_access_walk	arrivals_access_walk	stuck_access_walk	en-route_access_walk	departures_bicycle	arrivals_bicycle	stuck_bicycle	en-route_bicycle	departures_car	arrivals_car	stuck_car	en-route_car	departures_egress_walk	arrivals_egress_walk	stuck_egress_walk	en-route_egress_walk	departures_freight	arrivals_freight	stuck_freight	en-route_freight	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_ride	arrivals_ride	stuck_ride	en-route_ride	departures_transit_walk	arrivals_transit_walk	stuck_transit_walk	en-route_transit_walk	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	51	18	0	33	29	17	0	12	1	0	0	1	17	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3
00:05:00	300	16	16	0	33	2	9	0	5	0	0	0	1	9	3	0	23	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2
00:10:00	600	21	18	0	36	8	7	0	6	0	0	0	1	7	5	0	25	5	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
00:15:00	900	19	17	0	38	6	8	0	4	0	0	0	1	8	4	0	29	4	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1
00:20:00	1200	29	31	0	36	8	5	0	7	0	1	0	0	4	16	0	17	16	8	0	11	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00:25:00	1500	25	25	0	36	8	9	0	6	1	0	0	1	9	6	0	20	6	10	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
00:30:00	1800	26	26	0	36	8	7	0	7	1	0	0	2	7	10	0	17	10	9	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00:35:00	2100	25	24	0	37	8	10	0	5	0	0	0	2	10	5	0	22	5	7	0	6	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1
00:40:00	2400	23	22	0	38	8	8	0	5	0	1	0	1	8	6	0	24	6	7	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
00:45:00	2700	25	21	0	42	7	7	0	5	1	0	0	2	7	8	0	23	8	5	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3
