pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	7684	12257	12223	10797	9017	7272	5761	4286	3257	2451	1867	1326	4684
car interaction---home_10200.0	80	19	5	3	0	3	1	0	0	0	0	0	0
car interaction---home_10800.0	62	12	9	2	2	1	2	0	1	0	1	0	0
car interaction---home_11400.0	91	31	4	0	1	0	0	0	0	0	0	0	0
car interaction---home_1200.0	400	75	12	14	4	4	2	1	1	3	0	0	0
car interaction---home_12000.0	61	20	2	1	1	0	0	2	0	0	0	0	0
car interaction---home_12600.0	51	19	3	4	2	1	0	0	0	0	0	0	0
car interaction---home_13200.0	68	7	3	2	2	0	0	1	0	0	0	0	0
car interaction---home_13800.0	70	15	3	3	4	0	0	0	0	0	0	0	0
car interaction---home_14400.0	72	6	2	2	1	0	0	0	0	0	0	0	0
car interaction---home_15000.0	57	11	3	0	4	2	0	0	0	0	0	0	0
car interaction---home_15600.0	43	11	2	1	0	0	0	0	0	0	0	0	0
car interaction---home_16200.0	41	7	1	2	1	1	0	1	0	0	0	0	0
car interaction---home_16800.0	35	6	0	2	1	0	0	0	0	0	0	0	0
car interaction---home_17400.0	31	7	2	4	0	0	1	0	0	0	0	0	0
car interaction---home_1800.0	361	64	13	10	7	9	2	0	1	0	0	1	1
car interaction---home_18000.0	27	11	2	0	1	0	0	0	0	1	0	0	0
car interaction---home_18600.0	35	6	3	1	0	0	2	0	0	0	0	0	0
car interaction---home_19200.0	41	5	3	3	0	2	0	0	0	0	0	0	0
car interaction---home_19800.0	27	5	3	2	0	0	0	0	0	0	0	0	0
car interaction---home_20400.0	25	7	0	2	1	1	0	0	0	0	0	0	0
car interaction---home_21000.0	33	2	1	2	0	0	0	0	0	0	0	0	0
car interaction---home_21600.0	34	10	0	2	1	0	0	0	0	0	0	0	0
car interaction---home_22200.0	24	11	5	1	1	0	0	0	0	0	0	0	0
car interaction---home_22800.0	32	8	1	0	1	1	0	0	0	0	0	0	0
car interaction---home_23400.0	13	5	3	2	2	0	1	0	0	0	0	0	0
car interaction---home_2400.0	314	60	19	12	5	4	3	0	1	0	0	0	0
car interaction---home_24000.0	28	10	4	0	0	0	0	0	0	0	0	0	0
car interaction---home_24600.0	31	4	4	1	2	0	1	0	0	0	0	0	0
car interaction---home_25200.0	26	9	2	0	0	0	0	0	0	0	0	0	0
car interaction---home_25800.0	15	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---home_26400.0	11	2	0	1	1	0	0	0	1	0	0	0	0
car interaction---home_27000.0	15	2	3	0	0	1	0	0	0	0	1	0	0
car interaction---home_27600.0	23	6	2	1	0	0	0	0	0	0	0	0	0
car interaction---home_28200.0	25	1	1	2	0	0	0	0	0	0	0	0	0
car interaction---home_28800.0	17	5	3	0	0	1	0	0	0	0	0	0	0
car interaction---home_29400.0	24	4	0	0	1	0	0	0	0	0	0	0	0
car interaction---home_3000.0	314	50	18	11	4	2	0	0	2	0	1	0	1
car interaction---home_30000.0	22	7	6	0	1	0	0	0	0	0	0	0	0
car interaction---home_30600.0	17	6	3	3	0	0	0	0	0	0	0	0	0
car interaction---home_31200.0	25	6	1	0	0	0	0	0	0	0	0	0	0
car interaction---home_31800.0	14	7	1	0	1	1	0	0	0	0	0	0	0
car interaction---home_32400.0	23	6	0	3	1	1	0	0	0	0	0	0	0
car interaction---home_33000.0	19	7	6	1	2	1	0	0	0	0	0	0	0
car interaction---home_33600.0	24	7	3	1	0	0	0	0	0	0	0	0	0
car interaction---home_34200.0	26	12	2	1	1	0	0	0	0	0	0	0	0
car interaction---home_34800.0	25	8	6	0	0	0	0	0	0	0	0	0	0
car interaction---home_35400.0	29	11	1	0	0	1	0	1	0	0	0	0	0
car interaction---home_3600.0	279	51	13	11	3	1	3	1	0	0	0	0	0
car interaction---home_36000.0	29	6	4	1	2	0	1	0	0	0	0	0	0
car interaction---home_36600.0	28	9	4	2	1	0	1	0	0	0	0	0	0
car interaction---home_37200.0	34	6	3	0	1	1	0	0	0	0	1	0	0
car interaction---home_37800.0	45	9	3	0	1	0	0	0	0	0	0	0	0
car interaction---home_38400.0	41	9	7	1	0	0	0	0	0	0	0	0	0
car interaction---home_39000.0	45	10	5	0	2	0	1	0	0	0	0	0	0
car interaction---home_39600.0	46	13	8	3	1	0	0	0	1	0	0	0	0
car interaction---home_40200.0	55	21	3	5	1	1	2	0	0	0	0	1	0
car interaction---home_40800.0	57	24	5	2	1	1	0	0	0	0	0	0	0
car interaction---home_41400.0	60	19	4	2	1	3	0	0	0	1	0	0	0
car interaction---home_4200.0	233	41	9	6	4	3	1	1	0	0	0	0	1
car interaction---home_42000.0	83	17	4	3	2	0	1	0	0	0	0	0	0
car interaction---home_42600.0	82	16	5	2	0	0	0	1	0	0	0	0	0
car interaction---home_43200.0	99	24	4	5	1	1	0	0	0	0	0	0	0
car interaction---home_43800.0	86	27	6	5	0	0	2	1	1	0	0	0	0
car interaction---home_44400.0	93	17	7	6	2	1	1	2	0	0	0	0	0
car interaction---home_45000.0	99	24	12	4	3	2	0	1	1	0	0	0	0
car interaction---home_45600.0	112	25	9	4	1	2	0	0	1	0	0	0	0
car interaction---home_46200.0	124	25	9	3	2	0	0	1	1	0	0	0	0
car interaction---home_46800.0	141	22	6	8	5	1	2	0	0	0	1	0	0
car interaction---home_47400.0	134	39	14	3	0	0	1	1	0	0	0	0	0
car interaction---home_4800.0	202	47	10	8	3	1	2	2	0	0	0	1	0
car interaction---home_48000.0	177	35	12	3	2	1	1	0	0	1	0	0	0
car interaction---home_48600.0	163	33	12	4	1	0	2	2	1	0	0	0	0
car interaction---home_49200.0	181	44	17	5	5	1	2	0	1	1	0	0	0
car interaction---home_49800.0	196	41	7	5	2	4	1	1	0	0	1	0	0
car interaction---home_50400.0	191	30	11	6	2	1	0	0	1	0	0	0	0
car interaction---home_51000.0	225	43	16	4	6	0	2	0	0	0	0	0	0
car interaction---home_51600.0	217	37	18	3	3	2	0	2	1	0	0	0	0
car interaction---home_52200.0	203	49	9	7	4	2	2	1	0	0	0	0	1
car interaction---home_52800.0	218	57	10	5	4	1	2	0	0	1	0	0	0
car interaction---home_53400.0	219	41	17	11	1	3	0	1	0	1	1	1	0
car interaction---home_5400.0	172	34	10	4	1	1	0	1	3	1	0	0	1
car interaction---home_54000.0	228	42	18	8	5	2	1	0	1	0	0	0	0
car interaction---home_54600.0	230	54	11	8	2	1	1	0	0	0	0	0	0
car interaction---home_55200.0	233	46	18	10	4	0	0	0	0	0	0	1	0
car interaction---home_55800.0	244	43	10	10	4	1	0	2	0	1	0	0	0
car interaction---home_56400.0	247	53	13	6	1	1	2	1	0	0	0	0	0
car interaction---home_57000.0	226	34	8	4	3	5	1	0	0	0	0	0	0
car interaction---home_57600.0	239	52	18	3	3	1	2	0	0	0	0	1	0
car interaction---home_58200.0	243	37	9	3	4	2	1	1	0	0	0	0	0
car interaction---home_58800.0	256	47	12	6	5	0	1	0	0	0	0	0	0
car interaction---home_59400.0	281	34	14	3	3	2	0	0	0	1	0	0	0
car interaction---home_600.0	346	71	14	10	6	3	2	0	0	0	0	0	0
car interaction---home_6000.0	173	29	6	4	1	0	0	0	0	1	0	1	0
car interaction---home_60000.0	225	46	15	6	1	4	1	0	1	0	1	0	0
car interaction---home_60600.0	270	46	9	6	0	4	0	0	0	0	1	0	0
car interaction---home_61200.0	243	39	13	8	2	1	2	1	1	1	0	0	0
car interaction---home_61800.0	239	47	5	5	3	3	0	0	0	0	0	0	0
car interaction---home_62400.0	214	43	12	6	2	2	0	0	0	0	0	0	0
car interaction---home_63000.0	211	39	9	5	3	1	0	1	0	0	0	0	0
car interaction---home_63600.0	220	35	9	4	0	2	0	0	0	0	0	0	0
car interaction---home_64200.0	216	44	8	6	5	2	0	0	0	0	0	0	0
car interaction---home_64800.0	200	34	5	5	1	0	2	0	0	0	0	0	0
car interaction---home_65400.0	188	31	4	5	3	2	0	0	1	1	0	0	1
car interaction---home_6600.0	144	29	8	7	4	1	3	1	1	0	0	0	0
car interaction---home_66000.0	193	44	10	3	4	1	0	0	2	0	0	0	0
car interaction---home_66600.0	175	35	9	3	3	2	0	1	1	0	0	0	0
car interaction---home_67200.0	167	28	6	3	2	1	4	0	0	0	0	0	0
car interaction---home_67800.0	152	42	8	4	1	0	0	1	0	0	0	0	0
car interaction---home_68400.0	148	26	8	3	3	2	1	0	0	0	0	0	0
car interaction---home_69000.0	139	32	7	3	5	1	1	3	2	0	0	0	0
car interaction---home_69600.0	126	25	6	4	3	4	1	2	0	0	0	0	0
car interaction---home_70200.0	128	22	8	5	2	1	1	0	0	0	0	0	0
car interaction---home_70800.0	127	31	7	6	4	0	0	0	0	0	0	0	1
car interaction---home_71400.0	142	23	9	3	1	1	0	0	0	0	1	0	0
