time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_access_walk	arrivals_access_walk	stuck_access_walk	en-route_access_walk	departures_bicycle	arrivals_bicycle	stuck_bicycle	en-route_bicycle	departures_car	arrivals_car	stuck_car	en-route_car	departures_egress_walk	arrivals_egress_walk	stuck_egress_walk	en-route_egress_walk	departures_freight	arrivals_freight	stuck_freight	en-route_freight	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_ride	arrivals_ride	stuck_ride	en-route_ride	departures_transit_walk	arrivals_transit_walk	stuck_transit_walk	en-route_transit_walk	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	57	21	0	36	25	18	0	7	7	0	0	7	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	4
00:05:00	300	10	10	0	36	2	5	0	4	0	1	0	6	5	2	0	21	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4
00:10:00	600	17	17	0	36	7	4	0	7	0	2	0	4	4	4	0	21	4	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1
00:15:00	900	26	28	0	34	6	10	0	3	0	0	0	4	10	8	0	23	8	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2
00:20:00	1200	12	10	0	36	2	2	0	3	2	1	0	5	2	4	0	21	4	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4
00:25:00	1500	17	14	0	39	6	5	0	4	1	0	0	6	5	4	0	22	4	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3
00:30:00	1800	19	26	0	32	4	4	0	4	0	3	0	3	3	10	0	15	10	7	0	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2
00:35:00	2100	25	22	0	35	10	9	0	5	2	2	0	3	9	4	0	20	4	6	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
00:40:00	2400	22	18	0	39	8	8	0	5	1	1	0	3	6	3	0	23	3	5	0	3	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2
00:45:00	2700	19	20	0	38	4	6	0	3	1	0	0	4	6	6	0	23	6	6	0	3	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	1
00:50:00	3000	31	26	0	43	11	9	0	5	1	2	0	3	8	9	0	22	9	6	0	6	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2
00:55:00	3300	23	25	0	41	8	8	0	5	1	1	0	3	7	5	0	24	5	8	0	3	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1
01:00:00	3600	36	21	0	56	12	9	0	8	5	1	0	7	9	6	0	27	7	3	0	7	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3
01:05:00	3900	28	29	0	55	10	3	0	15	1	0	0	8	3	8	0	22	10	14	0	3	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	3	2	0	4
01:10:00	4200	34	33	0	56	8	16	0	7	0	3	0	5	16	7	0	31	7	6	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	6
01:15:00	4500	26	26	0	56	7	8	0	6	3	2	0	6	7	7	0	31	7	6	0	5	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	5
01:20:00	4800	25	23	0	58	9	7	0	8	2	0	0	8	7	5	0	33	6	6	0	5	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2
01:25:00	5100	29	33	0	54	7	11	0	4	2	4	0	6	11	8	0	36	8	8	0	5	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0
01:30:00	5400	29	25	0	58	9	4	0	9	2	1	0	7	4	11	0	29	11	8	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	3
01:35:00	5700	47	43	0	62	15	12	0	12	2	3	0	6	11	14	0	26	15	12	0	11	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	2	1	0	4
01:40:00	6000	24	28	0	58	6	7	0	11	0	3	0	3	6	6	0	26	8	9	0	10	0	0	0	1	0	0	0	0	1	2	0	0	2	0	0	3	1	1	0	4
01:45:00	6300	31	20	0	69	12	11	0	12	0	0	0	3	10	3	0	33	3	4	0	9	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	3	5	2	0	7
01:50:00	6600	41	40	0	70	10	14	0	8	5	1	0	7	14	8	0	39	9	9	0	9	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	3	6	0	4
01:55:00	6900	47	38	0	79	19	13	0	14	2	2	0	7	13	9	0	43	10	8	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	3	0	4
02:00:00	7200	42	42	0	79	5	12	0	7	7	0	0	14	12	11	0	44	11	14	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	6
