pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	6375	11449	11557	10704	8975	7243	5528	4205	3120	2299	1762	1301	4270
car interaction---home_10200.0	78	15	6	6	0	1	1	0	0	0	0	0	0
car interaction---home_10800.0	61	10	2	1	0	0	0	1	0	0	0	0	0
car interaction---home_11400.0	74	19	5	2	3	1	2	0	0	0	0	0	0
car interaction---home_1200.0	423	71	22	13	7	9	1	1	0	2	0	0	0
car interaction---home_12000.0	66	15	5	2	2	0	0	0	0	0	0	0	0
car interaction---home_12600.0	60	11	4	3	0	0	0	0	0	0	0	0	0
car interaction---home_13200.0	65	10	6	1	0	0	0	0	0	0	0	0	0
car interaction---home_13800.0	68	8	5	0	0	1	0	0	0	0	0	0	0
car interaction---home_14400.0	59	10	1	2	0	0	0	0	0	0	0	0	0
car interaction---home_15000.0	56	13	4	0	0	1	0	0	0	0	0	0	0
car interaction---home_15600.0	57	14	2	1	1	0	0	0	1	0	0	0	0
car interaction---home_16200.0	32	5	3	2	0	0	0	0	0	0	0	0	0
car interaction---home_16800.0	39	7	0	2	1	0	0	0	0	0	0	0	0
car interaction---home_17400.0	39	6	4	0	0	0	0	0	0	0	0	0	0
car interaction---home_1800.0	375	80	13	13	6	2	3	1	0	0	0	1	0
car interaction---home_18000.0	31	7	2	1	1	0	0	0	0	0	0	0	0
car interaction---home_18600.0	39	9	1	2	1	0	1	0	0	0	0	0	0
car interaction---home_19200.0	33	6	1	0	1	0	0	0	0	0	0	0	0
car interaction---home_19800.0	33	10	4	1	0	0	0	0	0	0	0	0	0
car interaction---home_20400.0	34	4	0	0	0	1	1	0	0	0	1	0	0
car interaction---home_21000.0	25	5	1	1	0	0	0	0	0	0	0	0	0
car interaction---home_21600.0	32	6	0	1	0	0	0	0	0	0	0	0	0
car interaction---home_22200.0	28	8	4	2	0	1	0	0	0	0	0	0	0
car interaction---home_22800.0	18	5	2	0	0	0	0	0	0	0	0	0	0
car interaction---home_23400.0	19	2	2	0	0	0	0	0	0	0	0	0	0
car interaction---home_2400.0	354	61	18	11	5	1	1	0	0	0	0	0	0
car interaction---home_24000.0	24	7	0	0	0	0	0	0	0	0	0	0	0
car interaction---home_24600.0	24	2	3	0	1	0	1	0	0	0	0	0	0
car interaction---home_25200.0	26	5	0	0	1	0	0	0	1	0	0	0	0
car interaction---home_25800.0	11	4	1	0	0	0	0	0	0	0	0	0	0
car interaction---home_26400.0	17	6	2	2	1	0	0	0	0	0	0	0	0
car interaction---home_27000.0	16	7	0	0	0	0	0	0	0	0	0	0	0
car interaction---home_27600.0	15	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---home_28200.0	21	0	1	3	1	0	0	0	0	0	0	0	0
car interaction---home_28800.0	14	7	4	0	0	0	0	0	0	0	0	0	0
car interaction---home_29400.0	19	6	1	0	1	1	0	0	0	0	0	0	0
car interaction---home_3000.0	306	64	17	4	3	2	1	0	0	2	0	0	0
car interaction---home_30000.0	15	3	2	2	1	0	0	0	0	0	0	0	0
car interaction---home_30600.0	16	8	3	1	0	0	0	0	0	1	0	0	0
car interaction---home_31200.0	20	5	3	0	1	0	0	0	0	0	0	0	0
car interaction---home_31800.0	20	3	0	2	0	0	0	0	0	0	0	0	0
car interaction---home_32400.0	23	5	2	1	0	0	0	0	0	0	0	0	0
car interaction---home_33000.0	12	4	2	0	1	0	0	0	0	0	0	0	0
car interaction---home_33600.0	28	7	1	0	0	0	0	0	0	0	0	0	0
car interaction---home_34200.0	19	11	2	1	1	0	0	0	0	0	0	0	0
car interaction---home_34800.0	20	10	3	0	1	0	0	0	0	0	0	0	0
car interaction---home_35400.0	26	10	5	1	0	0	0	0	0	0	0	0	0
car interaction---home_3600.0	236	46	14	10	3	5	1	0	0	0	0	0	0
car interaction---home_36000.0	24	8	4	0	0	0	0	0	0	0	0	0	0
car interaction---home_36600.0	33	13	0	2	0	0	0	0	0	0	0	0	0
car interaction---home_37200.0	44	6	5	1	3	2	0	1	0	0	0	0	0
car interaction---home_37800.0	47	10	2	1	2	0	0	1	0	0	0	0	0
car interaction---home_38400.0	42	4	6	1	2	0	0	0	0	1	0	0	1
car interaction---home_39000.0	42	17	5	1	1	0	1	0	0	0	1	0	0
car interaction---home_39600.0	54	20	4	2	0	0	1	0	0	0	0	0	0
car interaction---home_40200.0	63	12	3	0	1	1	2	0	0	0	0	0	0
car interaction---home_40800.0	81	18	4	6	1	0	0	0	0	0	1	0	0
car interaction---home_41400.0	76	21	12	2	1	0	1	0	0	0	0	0	0
car interaction---home_4200.0	204	32	4	1	0	3	3	0	1	0	0	0	0
car interaction---home_42000.0	79	16	3	1	2	3	2	0	0	0	1	0	0
car interaction---home_42600.0	92	15	7	1	1	3	1	1	0	0	0	0	0
car interaction---home_43200.0	76	20	8	3	0	2	0	0	0	1	0	0	0
car interaction---home_43800.0	100	22	11	6	1	2	0	1	0	0	0	0	0
car interaction---home_44400.0	89	18	8	3	2	0	1	0	0	0	0	1	0
car interaction---home_45000.0	127	25	10	4	2	1	1	1	1	0	0	0	0
car interaction---home_45600.0	112	28	10	2	1	4	0	1	0	0	0	0	0
car interaction---home_46200.0	123	18	7	9	0	2	0	1	0	1	1	0	0
car interaction---home_46800.0	162	29	13	6	1	0	3	0	2	1	0	0	0
car interaction---home_47400.0	172	46	8	2	0	1	0	0	0	0	1	0	0
car interaction---home_4800.0	197	31	10	5	9	0	2	0	0	0	0	1	0
car interaction---home_48000.0	185	28	8	5	1	0	0	2	0	0	0	0	0
car interaction---home_48600.0	166	38	13	7	2	1	0	0	0	0	0	0	0
car interaction---home_49200.0	183	39	11	2	3	2	0	0	0	0	0	0	0
car interaction---home_49800.0	211	42	5	2	2	3	0	0	0	0	0	0	0
car interaction---home_50400.0	178	39	12	4	3	1	0	0	0	1	0	0	0
car interaction---home_51000.0	228	40	6	6	6	1	2	0	0	0	0	0	0
car interaction---home_51600.0	214	36	10	6	2	2	1	0	1	0	0	0	0
car interaction---home_52200.0	191	42	13	7	0	2	0	0	0	1	0	0	0
car interaction---home_52800.0	192	49	14	6	4	2	0	0	0	0	0	0	0
car interaction---home_53400.0	219	44	12	3	2	3	2	0	0	1	2	0	0
car interaction---home_5400.0	159	32	9	6	2	1	1	0	1	0	0	0	0
car interaction---home_54000.0	211	42	13	10	1	5	0	1	1	0	0	0	0
car interaction---home_54600.0	220	41	11	3	4	0	2	0	0	1	0	0	1
car interaction---home_55200.0	226	33	17	9	5	2	0	0	1	0	0	0	0
car interaction---home_55800.0	186	44	11	4	2	1	1	1	0	0	0	0	0
car interaction---home_56400.0	238	49	20	1	1	0	0	0	0	1	0	0	0
car interaction---home_57000.0	217	41	12	5	1	1	0	0	0	0	0	0	0
car interaction---home_57600.0	223	34	21	4	2	3	0	0	0	0	0	0	0
car interaction---home_58200.0	233	39	13	3	2	0	1	0	0	0	0	0	0
car interaction---home_58800.0	234	36	20	6	3	0	1	0	0	1	1	1	0
car interaction---home_59400.0	237	34	14	7	1	2	0	0	0	1	0	0	0
car interaction---home_600.0	314	51	19	4	5	2	2	0	1	0	0	0	0
car interaction---home_6000.0	139	31	5	3	3	0	2	0	0	0	0	0	1
car interaction---home_60000.0	269	27	6	2	4	0	3	0	1	1	0	0	0
