Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:50:46	17:50:46	17:50:46			17:50:46	17:50:46	17:50:56	17:50:56	17:50:56	17:53:03	17:53:03	17:53:03	17:53:03	17:53:03	17:53:03			17:53:08	17:53:08		00:00:00		00:00:10	00:00:10	00:02:06	00:00:00	00:00:00		00:00:05	00:02:22
1	17:53:08	17:53:08	17:53:08	17:53:08	17:53:49	17:53:49	17:53:49	17:54:00	17:54:01	17:54:01	17:55:17	17:55:17	17:55:18	17:55:18	17:55:18	17:55:18			17:55:20	17:55:20		00:00:00	00:00:40	00:00:10	00:00:11	00:01:16	00:00:00	00:00:00		00:00:02	00:02:11
2	17:55:20	17:55:20	17:55:20	17:55:20	17:55:49	17:55:49			17:55:49	17:55:49	17:57:08	17:57:08	17:57:08	17:57:08	17:57:08	17:57:08			17:57:10	17:57:10		00:00:00	00:00:28		00:00:00	00:01:18	00:00:00	00:00:00		00:00:02	00:01:50
3	17:57:10	17:57:10	17:57:10	17:57:10	17:57:38	17:57:38			17:57:38	17:57:38	17:59:02	17:59:02	17:59:02	17:59:02	17:59:02	17:59:02			17:59:05	17:59:05		00:00:00	00:00:27		00:00:00	00:01:23	00:00:00	00:00:00		00:00:02	00:01:54
4	17:59:05	17:59:05	17:59:05	17:59:05	17:59:35	17:59:35			17:59:35	17:59:35	18:00:53	18:00:53	18:00:53	18:00:53	18:00:53	18:00:53			18:00:55	18:00:55		00:00:00	00:00:30		00:00:00	00:01:17	00:00:00	00:00:00		00:00:02	00:01:50
5	18:00:55	18:00:55	18:00:56	18:00:56	18:01:23	18:01:23			18:01:24	18:01:24	18:02:41	18:02:41	18:02:41	18:02:41	18:02:41	18:02:41			18:02:44	18:02:44		00:00:00	00:00:27		00:00:00	00:01:17	00:00:00	00:00:00		00:00:02	00:01:48
6	18:02:44	18:02:44	18:02:44	18:02:44	18:03:12	18:03:12			18:03:12	18:03:12	18:04:32	18:04:32	18:04:32	18:04:32	18:04:32	18:04:32			18:04:35	18:04:35		00:00:00	00:00:28		00:00:00	00:01:19	00:00:00	00:00:00		00:00:03	00:01:51
7	18:04:35	18:04:35	18:04:35	18:04:35	18:05:03	18:05:03			18:05:04	18:05:04	18:06:23	18:06:23	18:06:23	18:06:23	18:06:23	18:06:23			18:06:26	18:06:26		00:00:00	00:00:28		00:00:00	00:01:19	00:00:00	00:00:00		00:00:02	00:01:51
8	18:06:26	18:06:26	18:06:27	18:06:27	18:06:56	18:06:56			18:06:56	18:06:56	18:08:18	18:08:18	18:08:18	18:08:18	18:08:18	18:08:18			18:08:22	18:08:22		00:00:00	00:00:29		00:00:00	00:01:22	00:00:00	00:00:00		00:00:03	00:01:55
9	18:08:22	18:08:22	18:08:22	18:08:22	18:08:53	18:08:53			18:08:53	18:08:53	18:10:15	18:10:15	18:10:15	18:10:15	18:10:15	18:10:15			18:10:18	18:10:18		00:00:00	00:00:31		00:00:00	00:01:21	00:00:00	00:00:00		00:00:02	00:01:56
10	18:10:18	18:10:18	18:10:18	18:10:18	18:10:46	18:10:46			18:10:46	18:10:46	18:12:06	18:12:06	18:12:06	18:12:06	18:12:06	18:12:06	18:12:06	18:12:06	18:12:23	18:12:23		00:00:00	00:00:27		00:00:00	00:01:20	00:00:00	00:00:00	00:00:00	00:00:17	00:02:05
11	18:12:23	18:12:23	18:12:24	18:12:24	18:12:59	18:12:59			18:12:59	18:12:59	18:14:17	18:14:17	18:14:17	18:14:17	18:14:17	18:14:17			18:14:19	18:14:19		00:00:00	00:00:35		00:00:00	00:01:17	00:00:00	00:00:00		00:00:02	00:01:55
12	18:14:19	18:14:19	18:14:19	18:14:19	18:14:48	18:14:48			18:14:48	18:14:48	18:16:04	18:16:04	18:16:04	18:16:04	18:16:05	18:16:05			18:16:07	18:16:07		00:00:00	00:00:29		00:00:00	00:01:15	00:00:00	00:00:00		00:00:02	00:01:47
13	18:16:07	18:16:07	18:16:07	18:16:07	18:16:33	18:16:33			18:16:34	18:16:34	18:17:53	18:17:53	18:17:53	18:17:53	18:17:53	18:17:53			18:17:55	18:17:55		00:00:00	00:00:26		00:00:00	00:01:19	00:00:00	00:00:00		00:00:02	00:01:48
14	18:17:55	18:17:55	18:17:56	18:17:56	18:18:21	18:18:21			18:18:21	18:18:21	18:19:42	18:19:42	18:19:42	18:19:42	18:19:42	18:19:42			18:19:44	18:19:44		00:00:00	00:00:25		00:00:00	00:01:20	00:00:00	00:00:00		00:00:02	00:01:48
15	18:19:45	18:19:45	18:19:45	18:19:45	18:20:11	18:20:11			18:20:12	18:20:12	18:21:31	18:21:31	18:21:31	18:21:31	18:21:31	18:21:31			18:21:34	18:21:34		00:00:00	00:00:26		00:00:00	00:01:19	00:00:00	00:00:00		00:00:02	00:01:48
16	18:21:34	18:21:34	18:21:34	18:21:34	18:22:02	18:22:02			18:22:02	18:22:02	18:23:20	18:23:20	18:23:20	18:23:20	18:23:20	18:23:20			18:23:24	18:23:24		00:00:00	00:00:28		00:00:00	00:01:18	00:00:00	00:00:00		00:00:03	00:01:50
17	18:23:24	18:23:24	18:23:24	18:23:24	18:23:52	18:23:52			18:23:53	18:23:53	18:25:08	18:25:08	18:25:08	18:25:08	18:25:08	18:25:08			18:25:11	18:25:11		00:00:00	00:00:28		00:00:00	00:01:15	00:00:00	00:00:00		00:00:02	00:01:47
18	18:25:11	18:25:11	18:25:12	18:25:12	18:25:39	18:25:39			18:25:39	18:25:39	18:26:56	18:26:56	18:26:56	18:26:56	18:26:56	18:26:56			18:26:59	18:26:59		00:00:00	00:00:27		00:00:00	00:01:17	00:00:00	00:00:00		00:00:02	00:01:47
19	18:26:59	18:26:59	18:27:00	18:27:00	18:27:25	18:27:25			18:27:26	18:27:26	18:28:44	18:28:44	18:28:44	18:28:44	18:28:44	18:28:44			18:28:47	18:28:47		00:00:00	00:00:25		00:00:00	00:01:18	00:00:00	00:00:00		00:00:02	00:01:47
20	18:28:47	18:28:47	18:28:47	18:28:47	18:29:11	18:29:11			18:29:11	18:29:11	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:43	18:30:43		00:00:00	00:00:23		00:00:00	00:01:17	00:00:00	00:00:00	00:00:00	00:00:14	00:01:56
21	18:30:43	18:30:43	18:30:44	18:30:44	18:31:09	18:31:09			18:31:09	18:31:09	18:32:38	18:32:38	18:32:38	18:32:38	18:32:38	18:32:38			18:32:41	18:32:41		00:00:00	00:00:25		00:00:00	00:01:29	00:00:00	00:00:00		00:00:02	00:01:57
