dist_group,main_mode,mean_dist,share
0 - 1000,bike,641.923969696311,0.13955969280974076
0 - 1000,car,667.6048862627572,0.03521419946265174
0 - 1000,pt,736.884946458635,0.012431042155741298
0 - 1000,ride,679.8383383516772,0.0132676962262736
0 - 1000,walk,463.4736508146024,0.7995273693455925
1000 - 2000,bike,1459.439889557046,0.30782141268240654
1000 - 2000,car,1515.6654055247768,0.15165417213254306
1000 - 2000,pt,1560.8610569998507,0.1315562766954925
1000 - 2000,ride,1503.658665706513,0.06692865094292362
1000 - 2000,walk,1360.5449036473765,0.3420394875466344
2000 - 5000,bike,3233.1310858469933,0.26593557247872057
2000 - 5000,car,3369.780420245613,0.24416722005700903
2000 - 5000,pt,3471.43175799158,0.33266543742394744
2000 - 5000,ride,3335.6923181538796,0.09339568053754725
2000 - 5000,walk,2787.6143446620194,0.06383608950277564
5000 - 10000,bike,6833.120011695687,0.1521334976557492
5000 - 10000,car,7188.906623537019,0.2946173106872074
5000 - 10000,pt,7225.581516386351,0.46575206267904273
5000 - 10000,ride,6996.618119909154,0.0789244586744906
5000 - 10000,walk,6686.771851964966,0.008572670303510228
10000 - 20000,bike,12851.96000741612,0.05908246187835078
10000 - 20000,car,14116.230268840298,0.34227361194279915
10000 - 20000,pt,13977.58266859862,0.5286620898290071
10000 - 20000,ride,13778.927405383118,0.06561641189606941
10000 - 20000,walk,12158.890739372593,0.0043654244537734786
20000+,bike,44640.07139716297,0.012375425810734026
20000+,car,52570.26447893369,0.43007953377722014
20000+,pt,80453.71634721293,0.4775389794365375
20000+,ride,96167.87960571941,0.07604216515678314
20000+,walk,182710.51794030122,0.003963895818725283
