dist_group,main_mode,mean_dist,share
0 - 1000,bike,642.7362254533504,0.041773762171279594
0 - 1000,car,664.7137300405267,0.01057611714903656
0 - 1000,pt,737.7097226889715,0.0035274089679743436
0 - 1000,ride,671.3913613714266,0.004155220244048345
0 - 1000,walk,462.49633729925984,0.2321620077564082
1000 - 2000,bike,1459.0188605554372,0.04976149343536908
1000 - 2000,car,1516.0373712895853,0.02408744161442384
1000 - 2000,pt,1561.9485358897075,0.019691842934755097
1000 - 2000,ride,1504.786904018702,0.010672158503681558
1000 - 2000,walk,1357.1883390502437,0.05283074222673194
2000 - 5000,bike,3236.6372239756583,0.05896581500309014
2000 - 5000,car,3369.037825840531,0.05377384749525085
2000 - 5000,pt,3472.0945689576815,0.06659991834798387
2000 - 5000,ride,3345.124776877841,0.02028776089253914
2000 - 5000,walk,2827.1062729794758,0.013969020923793221
5000 - 10000,bike,6841.379492215497,0.029113427426160545
5000 - 10000,car,7189.242991435152,0.053665681892875745
5000 - 10000,pt,7207.889944153758,0.07523523867569203
5000 - 10000,ride,6988.590589470452,0.014408463251918585
5000 - 10000,walk,6833.960515847983,0.002180414240724605
10000 - 20000,bike,12887.681896313305,0.008036568653056839
10000 - 20000,car,14157.926434083272,0.042237483123113095
10000 - 20000,pt,14018.197174068706,0.059109807458149484
10000 - 20000,ride,13843.147524650036,0.008108323730158346
10000 - 20000,walk,13525.723972986301,0.0009540866474356413
20000+,bike,35153.626492130796,0.0006739794008152106
20000+,car,33189.87041354405,0.020251480893372212
20000+,pt,31436.68734269047,0.019531134505786824
20000+,ride,39682.9627424628,0.003191591568299355
20000+,walk,75238.71714274038,0.00046776086607569733
