hour,time,value,factor
0,0,15453.303767751484,0.5852374938658914
1,3600,10913.991878534745,0.41332761919788114
2,7200,14511.588132918663,0.5495734503482846
3,10800,14599.177482670193,0.5528905773722742
4,14400,15326.114449880648,0.5804206625425743
5,18000,21392.756728301825,0.8101726027466639
6,21600,26405.184111377428,1.0000000004308787
7,25200,26213.553315175315,0.9927426832511771
8,28800,25133.28521672216,0.9518314707270744
9,32400,19930.59848471506,0.7547986944243673
10,36000,13927.112945390176,0.5274385852659205
11,39600,13368.985629201105,0.5063015496718731
12,43200,13169.34706091599,0.498740967343454
13,46800,13027.491656477385,0.4933687115053057
14,50400,12488.282625043932,0.47294813691694476
15,54000,10915.223457133243,0.4133742607434895
16,57600,9439.48214811573,0.3574859433801763
17,61200,8464.462358925148,0.3205606265371635
18,64800,8132.41404670205,0.3079855082965337
19,68400,8037.363771751395,0.30438582595420705
20,72000,7801.160209641505,0.2954404779037881
21,75600,8320.279020975742,0.3151002087115061
22,79200,9907.225735229338,0.37520002502952965
23,82800,12033.516636906312,0.45572553447587255
24,86400,11670.04719625325,0.44196045564602787
