hour,time,value,factor
0,0,689.3408216987855,0.563617026144775
1,3600,379.92843915345134,0.31063608926538006
2,7200,577.2188944550435,0.47194419144595917
3,10800,566.5876803794962,0.46325192620798566
4,14400,580.5938219203694,0.4747035907468357
5,18000,817.9386894402079,0.6687608758973006
6,21600,1096.3579649148069,0.8964013102439335
7,25200,1182.8249993251632,0.9670982590679188
8,28800,1223.065726007437,0.9999997759789226
9,32400,1112.409586030743,0.909525394402872
10,36000,938.9327243923274,0.7676876999216129
11,39600,921.4530432138935,0.75339600905747806
12,43200,904.7913899380422,0.739773152011455
13,46800,887.9499955732895,0.7260033355299628
14,50400,846.6228473740234,0.6922135415210817
15,54000,750.7536051258867,0.6138291843006728
16,57600,662.8048770366823,0.5419207769954216
17,61200,603.0736816331483,0.4930835144081745
18,64800,573.3572296406642,0.4687868272363586
19,68400,551.1139101700007,0.4506003029844675
20,72000,524.1686202989149,0.42856936608401747
21,75600,521.3482743066655,0.4262634022257716
22,79200,537.8786970479457,0.43977896290792623
23,82800,533.9495512823346,0.4365664251007996
24,86400,448.2996207774287,0.3665375546188257
